Lote,FechaInicioPlantacion,FechaFinPlantacion,Precipitacion_mm (400-1000),Temperatura_C (18-28),Humedad_porcentaje (50-90),HorasSol_dia (12-13),Altitud_msnm (0-3200),CostoTotal_USD (3000-5000),Produccion_qt (400-500),Produccion_kg (40000-50000),Fertilizante_NPK (N-P-K),ModoRiego (Aspersion/Goteo/Gravedad),Riego_Etapa1_mm (20-50),Riego_Etapa2_mm (30-60),Riego_Etapa3_mm (40-70),DistanciaMecanizacion_m (10-50),DistanciaSiembra_m (0.5-1.0),TipoSuelo (Arenoso/Arcilloso/Franco),pH_Suelo (5.5-7.5)
49,2035-10-09,2036-02-06,927.26,26.83,87.8,12.19,3119.52,4545.51,476.98,41017.0,N-20 P-13 K-12,Goteo,31.98,54.62,45.74,13.47,0.6,Arcilloso,5.7
50,2036-02-06,2036-06-05,746.08,20.6,64.69,12.28,1145.53,3260.83,438.03,42980.0,N-18 P-14 K-12,Goteo,49.23,38.62,48.38,19.51,0.5,Arenoso,6.7
51,2036-06-05,2036-10-03,894.48,20.82,79.41,12.95,879.86,4938.62,463.39,40226.0,N-14 P-17 K-17,Aspersion,46.8,38.96,57.91,12.45,0.5,Arcilloso,6.0
52,2036-10-03,2037-01-31,586.97,18.55,61.62,12.01,783.66,3062.49,411.96,44373.0,N-18 P-12 K-17,Gravedad,32.12,35.2,46.87,15.99,0.6,Franco,5.7
53,2037-01-31,2037-05-31,950.59,20.25,59.8,12.24,716.22,4903.98,436.19,47350.0,N-17 P-18 K-15,Gravedad,46.51,35.06,63.52,15.19,0.8,Arenoso,6.1
54,2037-05-31,2037-09-28,718.86,18.55,70.94,12.05,416.61,3831.95,415.21,40790.0,N-20 P-12 K-20,Aspersion,33.99,56.16,51.35,32.51,0.7,Franco,6.2
55,2037-09-28,2038-01-26,421.07,20.62,71.61,12.19,1850.79,4794.36,425.79,47913.0,N-12 P-13 K-16,Gravedad,45.24,48.56,52.74,19.61,0.9,Franco,5.6
56,2038-01-26,2038-05-26,729.7,23.76,84.33,12.91,2536.67,3454.01,419.89,40037.0,N-17 P-19 K-10,Gravedad,38.52,42.21,67.71,33.19,1.0,Arcilloso,6.0
57,2038-05-26,2038-09-23,687.55,19.0,51.79,12.93,2974.04,4274.45,407.03,40923.0,N-17 P-18 K-20,Goteo,21.19,57.79,67.67,24.62,0.9,Franco,6.8
58,2038-09-23,2039-01-21,937.68,20.12,69.9,12.65,1771.41,4320.33,449.12,47123.0,N-20 P-11 K-19,Goteo,30.42,56.43,60.11,48.17,0.8,Arenoso,7.5
59,2039-01-21,2039-05-21,633.61,19.88,75.46,12.2,1288.37,4976.16,438.87,48093.0,N-18 P-14 K-18,Aspersion,28.27,34.96,62.74,13.89,0.7,Arenoso,6.2
60,2039-05-21,2039-09-18,811.71,27.41,77.92,12.71,2580.38,4746.65,499.46,49133.0,N-17 P-10 K-11,Aspersion,27.56,46.95,47.99,34.52,0.6,Arcilloso,6.6
61,2039-09-18,2040-01-16,784.41,19.34,83.69,12.97,2319.96,4011.7,411.73,49008.0,N-20 P-12 K-12,Aspersion,46.0,37.3,46.43,33.31,0.7,Arenoso,6.6
62,2040-01-16,2040-05-15,708.55,18.19,72.48,12.84,2268.59,3339.64,403.88,43298.0,N-19 P-20 K-10,Gravedad,29.3,53.18,59.83,32.87,0.8,Arenoso,5.9
63,2040-05-15,2040-09-12,468.1,19.94,72.92,12.06,2578.34,3597.51,460.03,44971.0,N-18 P-16 K-20,Goteo,23.97,38.97,43.95,12.4,0.5,Arenoso,6.7
64,2040-09-12,2041-01-10,696.3,26.74,55.61,12.38,1064.7,4794.89,496.3,42325.0,N-19 P-18 K-19,Gravedad,41.38,38.73,42.14,35.1,0.5,Franco,6.1
65,2041-01-10,2041-05-10,574.97,22.81,52.17,12.45,1918.39,4560.09,447.68,42521.0,N-16 P-18 K-10,Gravedad,21.75,53.54,60.72,47.41,1.0,Arenoso,5.8
66,2041-05-10,2041-09-07,671.12,26.19,63.85,12.8,837.62,3740.83,462.08,47422.0,N-17 P-20 K-20,Goteo,40.64,45.0,52.88,44.71,0.9,Arenoso,7.3
67,2041-09-07,2042-01-05,931.64,24.09,85.64,12.87,2418.87,3972.44,495.39,41120.0,N-20 P-11 K-19,Goteo,31.44,56.94,67.28,19.07,0.6,Franco,7.4
68,2042-01-05,2042-05-05,782.72,27.41,66.51,12.09,1351.01,3727.83,401.26,48765.0,N-14 P-19 K-11,Gravedad,44.5,35.43,48.39,11.61,1.0,Arcilloso,6.8
69,2042-05-05,2042-09-02,427.97,20.95,59.31,12.09,1038.0,3646.11,490.66,46995.0,N-11 P-17 K-16,Gravedad,29.81,44.55,49.48,37.82,0.8,Franco,7.3
70,2042-09-02,2042-12-31,790.6,23.77,53.77,12.01,2282.88,4932.26,429.52,48910.0,N-13 P-19 K-17,Goteo,30.46,51.83,42.32,27.7,0.5,Arcilloso,5.8
71,2042-12-31,2043-04-30,500.3,22.36,83.5,12.99,1978.83,4237.47,490.94,43486.0,N-11 P-11 K-16,Aspersion,32.12,36.25,55.09,18.29,0.8,Franco,5.8
72,2043-04-30,2043-08-28,724.31,18.85,64.59,12.36,1536.84,4336.0,453.2,48053.0,N-18 P-19 K-11,Goteo,35.47,52.75,68.2,35.82,0.9,Arenoso,6.2
73,2043-08-28,2043-12-26,697.62,18.99,88.86,12.99,877.87,3530.01,434.82,47581.0,N-12 P-13 K-11,Gravedad,46.7,32.74,43.04,34.44,0.5,Arcilloso,7.2
74,2043-12-26,2044-04-24,939.21,20.01,81.61,12.74,2211.69,4348.67,409.28,48899.0,N-17 P-18 K-10,Gravedad,22.88,47.74,63.22,16.25,0.6,Arenoso,7.1
75,2044-04-24,2044-08-22,880.12,23.33,81.3,12.26,577.48,3170.75,413.32,49097.0,N-19 P-19 K-10,Gravedad,25.11,50.9,49.9,30.09,1.0,Franco,5.9
76,2044-08-22,2044-12-20,641.42,19.22,65.28,12.81,2951.0,3960.93,427.66,45036.0,N-17 P-20 K-11,Gravedad,30.52,37.27,55.77,17.12,0.6,Arcilloso,6.7
77,2044-12-20,2045-04-19,849.73,19.2,87.98,12.65,822.11,3775.7,443.49,44422.0,N-19 P-14 K-17,Goteo,29.39,43.13,40.98,14.99,0.5,Arcilloso,5.8
78,2045-04-19,2045-08-17,902.62,22.13,50.81,12.15,1184.36,3726.78,438.64,44602.0,N-10 P-13 K-17,Aspersion,22.74,49.33,65.07,16.05,0.8,Arenoso,7.4
79,2045-08-17,2045-12-15,775.14,21.6,75.12,12.71,2475.22,3833.11,407.61,42366.0,N-17 P-11 K-13,Gravedad,20.55,50.55,55.97,10.33,0.8,Arenoso,6.4
80,2045-12-15,2046-04-14,404.95,24.06,77.83,12.67,957.02,4259.86,404.84,45796.0,N-18 P-12 K-13,Aspersion,47.61,44.91,41.11,22.66,0.6,Franco,6.1
81,2046-04-14,2046-08-12,752.0,25.49,81.68,12.15,2007.07,4127.68,470.01,41388.0,N-14 P-16 K-16,Goteo,24.54,38.78,52.64,23.22,0.8,Arcilloso,6.5
82,2046-08-12,2046-12-10,536.29,26.33,61.18,12.92,827.62,3023.01,440.82,42032.0,N-18 P-12 K-10,Gravedad,20.57,44.67,48.57,27.14,0.8,Franco,7.4
83,2046-12-10,2047-04-09,556.35,18.31,75.75,12.97,1942.93,4292.81,497.41,43374.0,N-14 P-18 K-16,Goteo,41.73,31.81,45.54,40.65,0.8,Arcilloso,7.2
84,2047-04-09,2047-08-07,685.35,18.34,54.22,12.47,1112.21,4994.23,498.38,48887.0,N-13 P-10 K-15,Gravedad,45.44,46.62,68.74,17.52,0.8,Arenoso,5.6
85,2047-08-07,2047-12-05,675.42,25.83,67.99,12.59,3076.27,4827.56,410.75,44973.0,N-11 P-19 K-16,Aspersion,47.44,45.17,46.48,22.95,0.7,Arenoso,6.6
86,2047-12-05,2048-04-03,839.64,23.94,87.85,12.28,1950.35,4686.68,478.54,43789.0,N-17 P-14 K-16,Goteo,49.14,52.41,67.42,47.29,0.6,Franco,7.0
87,2048-04-03,2048-08-01,742.9,24.99,57.32,12.1,1658.62,4694.39,442.68,45357.0,N-12 P-15 K-16,Goteo,27.28,52.18,68.42,12.03,0.5,Arenoso,5.8
88,2048-08-01,2048-11-29,521.92,20.14,67.06,12.51,1432.69,3369.9,499.46,40020.0,N-19 P-11 K-20,Gravedad,37.94,51.99,53.14,31.38,0.8,Arcilloso,6.7
89,2048-11-29,2049-03-29,536.72,25.67,85.3,12.96,1761.87,4775.97,428.4,48652.0,N-19 P-15 K-11,Gravedad,45.68,34.3,60.6,38.59,0.5,Franco,6.2
90,2049-03-29,2049-07-27,875.1,24.53,62.25,12.12,1505.9,4356.05,490.64,49817.0,N-20 P-12 K-20,Gravedad,25.31,51.6,43.16,32.79,0.6,Arenoso,6.7
91,2049-07-27,2049-11-24,767.15,25.16,81.13,12.62,163.26,4230.78,489.3,45905.0,N-16 P-14 K-20,Goteo,23.87,47.84,41.91,49.25,0.5,Franco,7.2
92,2049-11-24,2050-03-24,911.65,25.95,82.54,12.13,617.97,3473.38,481.46,44923.0,N-14 P-14 K-20,Gravedad,20.13,38.52,63.46,36.35,0.9,Arenoso,6.4
93,2050-03-24,2050-07-22,725.76,19.41,79.88,12.66,1503.71,3793.25,433.71,47760.0,N-10 P-19 K-14,Gravedad,30.38,58.21,49.21,27.56,0.8,Arenoso,6.9
94,2050-07-22,2050-11-19,764.46,22.0,66.12,12.35,1003.28,3417.96,484.69,42884.0,N-10 P-13 K-16,Goteo,29.74,37.09,69.41,30.35,0.9,Arcilloso,6.4
95,2050-11-19,2051-03-19,658.98,25.35,75.85,12.66,1550.22,4769.77,458.61,48705.0,N-19 P-14 K-16,Aspersion,31.95,54.5,63.67,27.0,0.9,Arenoso,6.5
96,2051-03-19,2051-07-17,561.29,21.25,81.45,12.88,83.19,4369.11,411.17,43295.0,N-20 P-18 K-16,Gravedad,43.34,48.03,65.84,33.33,0.7,Arenoso,7.3
97,2051-07-17,2051-11-14,431.16,27.68,77.79,12.58,2281.64,4296.41,496.63,44162.0,N-10 P-17 K-18,Aspersion,22.15,57.66,43.51,32.02,0.8,Arcilloso,6.5
98,2051-11-14,2052-03-13,432.01,20.35,81.95,12.75,1366.9,3950.12,485.37,46691.0,N-12 P-13 K-18,Gravedad,26.14,45.48,48.81,10.71,0.7,Arenoso,5.7
99,2052-03-13,2052-07-11,478.34,27.2,56.15,12.92,945.77,4843.26,454.67,40473.0,N-12 P-17 K-13,Goteo,43.05,46.47,46.29,30.48,0.6,Franco,5.8
100,2052-07-11,2052-11-08,415.56,24.54,58.33,12.14,1874.38,3562.25,419.86,40054.0,N-12 P-20 K-18,Gravedad,26.08,56.46,61.35,44.05,0.9,Franco,6.8
101,2052-11-08,2053-03-08,788.14,26.16,63.51,12.38,2183.69,4987.79,427.45,42695.0,N-16 P-14 K-16,Gravedad,27.08,51.25,50.39,20.17,0.5,Arenoso,6.5
102,2053-03-08,2053-07-06,813.16,22.73,73.49,12.21,2874.56,3475.64,474.3,42570.0,N-17 P-11 K-19,Gravedad,20.98,47.46,65.52,16.59,0.5,Arcilloso,6.8
103,2053-07-06,2053-11-03,654.44,26.84,62.14,12.47,3074.52,4663.23,442.34,40627.0,N-18 P-17 K-14,Aspersion,32.81,56.22,66.49,12.78,0.7,Arenoso,5.6
104,2053-11-03,2054-03-03,716.6,24.23,54.15,12.76,1774.08,3661.99,408.05,41676.0,N-13 P-18 K-17,Gravedad,43.61,59.14,41.7,40.01,0.6,Arcilloso,7.2
105,2054-03-03,2054-07-01,678.99,22.21,83.04,12.02,2475.12,3375.15,432.21,47023.0,N-11 P-19 K-15,Gravedad,48.92,43.63,67.19,13.38,0.5,Arcilloso,7.5
106,2054-07-01,2054-10-29,498.35,22.3,59.85,12.38,1929.54,4160.63,404.33,46653.0,N-17 P-15 K-11,Aspersion,36.86,59.17,50.28,11.83,1.0,Franco,7.3
107,2054-10-29,2055-02-26,636.7,18.59,61.16,12.5,3190.99,3049.49,476.71,42469.0,N-11 P-17 K-12,Goteo,29.72,58.19,59.11,28.16,0.7,Arcilloso,6.2
108,2055-02-26,2055-06-26,600.07,22.97,55.08,12.49,1669.64,3594.81,478.42,41164.0,N-20 P-12 K-19,Aspersion,20.11,37.05,63.25,44.64,0.6,Arcilloso,6.0
109,2055-06-26,2055-10-24,848.11,21.6,62.0,12.02,2500.67,4614.92,405.73,48401.0,N-10 P-19 K-14,Gravedad,49.6,44.57,54.76,17.47,1.0,Arcilloso,7.2
110,2055-10-24,2056-02-21,502.25,27.61,80.96,12.51,1627.81,4111.35,412.4,41621.0,N-12 P-15 K-20,Gravedad,29.6,55.07,55.18,33.18,0.6,Arenoso,6.8
111,2056-02-21,2056-06-20,639.05,25.7,56.28,12.79,2813.7,3722.38,403.14,44173.0,N-16 P-13 K-14,Goteo,47.27,45.53,60.45,15.42,0.9,Arenoso,6.5
112,2056-06-20,2056-10-18,885.34,26.59,82.04,12.62,2706.81,3020.23,446.53,41255.0,N-17 P-11 K-12,Goteo,37.25,35.39,66.18,45.48,0.7,Arenoso,7.3
113,2056-10-18,2057-02-15,844.04,27.81,64.27,12.56,1205.84,4225.58,453.24,48253.0,N-15 P-15 K-16,Aspersion,38.98,41.86,48.13,11.04,0.7,Franco,5.8
114,2057-02-15,2057-06-15,886.56,25.53,86.51,12.15,2689.55,3326.83,439.86,40556.0,N-13 P-19 K-11,Goteo,42.58,36.1,65.58,18.32,0.6,Arenoso,7.5
115,2057-06-15,2057-10-13,975.27,27.83,62.3,12.35,798.22,3239.81,438.52,47813.0,N-11 P-20 K-12,Aspersion,21.19,48.08,68.92,22.81,0.8,Arcilloso,7.1
116,2057-10-13,2058-02-10,460.18,20.37,53.02,12.45,804.8,4770.42,494.95,48486.0,N-19 P-18 K-17,Aspersion,45.61,53.7,45.21,20.0,0.6,Arenoso,5.8
117,2058-02-10,2058-06-10,622.31,24.9,87.92,12.45,904.61,4165.17,420.72,41997.0,N-16 P-19 K-17,Goteo,35.3,49.18,59.85,18.01,0.5,Arcilloso,7.4
118,2058-06-10,2058-10-08,553.31,21.9,84.85,12.35,1482.28,4017.79,485.84,47099.0,N-15 P-16 K-10,Goteo,35.96,46.86,50.11,44.94,0.6,Franco,5.6
119,2058-10-08,2059-02-05,889.94,26.93,58.56,12.61,161.87,4200.03,482.07,45409.0,N-10 P-16 K-18,Goteo,41.66,30.7,58.31,14.23,0.9,Arenoso,7.5
120,2059-02-05,2059-06-05,700.58,20.16,78.27,12.89,43.9,3319.24,464.72,49636.0,N-13 P-15 K-18,Aspersion,46.68,46.04,40.59,10.74,0.7,Franco,7.3
121,2059-06-05,2059-10-03,801.34,19.98,85.32,12.53,2200.79,4363.64,441.02,44619.0,N-18 P-13 K-10,Aspersion,29.42,58.61,46.0,19.71,0.9,Franco,7.1
122,2059-10-03,2060-01-31,841.46,19.53,54.94,12.08,715.83,3334.61,471.86,43767.0,N-12 P-11 K-17,Aspersion,46.82,33.23,67.53,13.96,0.8,Arcilloso,7.0
123,2060-01-31,2060-05-30,907.93,26.21,59.68,12.74,642.83,4289.93,463.21,43305.0,N-14 P-18 K-14,Gravedad,32.42,45.7,55.86,16.69,1.0,Arenoso,6.5
124,2060-05-30,2060-09-27,843.48,27.96,74.63,12.28,1299.37,3787.3,439.02,45807.0,N-19 P-19 K-14,Gravedad,27.27,37.06,66.07,12.68,1.0,Arenoso,7.5
125,2060-09-27,2061-01-25,523.05,25.11,52.7,12.34,442.17,4845.09,480.18,48095.0,N-17 P-17 K-11,Aspersion,25.58,31.24,59.28,35.3,0.9,Arcilloso,6.4
126,2061-01-25,2061-05-25,977.5,19.7,79.92,12.36,1033.45,3632.4,442.31,42608.0,N-12 P-12 K-17,Goteo,38.29,46.29,50.14,14.1,1.0,Arenoso,5.6
127,2061-05-25,2061-09-22,749.42,24.34,65.97,12.17,2118.47,3712.25,445.63,40396.0,N-15 P-16 K-19,Goteo,39.41,44.26,41.54,10.55,0.6,Arcilloso,7.4
128,2061-09-22,2062-01-20,562.04,25.61,67.45,12.12,1753.84,3876.1,412.22,41086.0,N-12 P-17 K-17,Gravedad,38.05,32.91,57.71,41.98,0.9,Franco,7.4
129,2062-01-20,2062-05-20,919.83,27.23,52.94,12.71,446.18,4547.13,476.19,43582.0,N-18 P-13 K-19,Aspersion,33.59,30.54,68.68,13.48,0.7,Arcilloso,5.5
130,2062-05-20,2062-09-17,878.35,26.04,86.79,12.93,2211.76,3408.21,480.42,45440.0,N-17 P-16 K-20,Goteo,34.56,46.99,59.71,19.92,0.5,Arcilloso,6.2
131,2062-09-17,2063-01-15,539.2,18.8,85.65,12.4,1366.65,4678.41,454.36,44632.0,N-17 P-16 K-16,Gravedad,47.85,35.93,57.21,28.57,0.6,Franco,6.7
132,2063-01-15,2063-05-15,529.53,18.64,69.66,12.92,1473.61,4236.62,474.84,47921.0,N-10 P-13 K-19,Aspersion,33.81,32.86,48.39,10.33,0.9,Arenoso,6.2
133,2063-05-15,2063-09-12,544.83,18.14,66.33,12.28,1608.32,3808.88,493.94,42079.0,N-15 P-16 K-10,Goteo,33.84,46.99,64.43,25.49,0.9,Franco,6.8
134,2063-09-12,2064-01-10,931.96,27.72,51.28,12.11,2415.29,4005.51,467.98,44583.0,N-20 P-15 K-15,Aspersion,21.42,41.8,55.51,14.63,0.8,Franco,7.5
135,2064-01-10,2064-05-09,567.22,25.5,66.2,12.46,1787.83,3983.67,475.74,47647.0,N-20 P-13 K-10,Aspersion,47.05,31.68,57.69,13.61,0.8,Arcilloso,6.0
136,2064-05-09,2064-09-06,471.55,22.64,65.88,12.23,2767.9,3802.22,421.97,41222.0,N-15 P-11 K-14,Gravedad,41.79,35.63,44.48,32.95,0.9,Arcilloso,6.9
