Año de siembra,Altitud (msnm),Superficie (m2),Distancia entre filas (cm),Fecha de siembra,Distancia en la fila (cm),Fertilizaci�n,Riego,Clima,Costo de producción (USD),Otros costos (USD),Producci�n (kg)
2020,9.760604824,3934.146669,90,30/07/2020,50,15,2,templado,210.6237945,201.3748323,1858.579983
2020,96.96987404,3417.832671,100,26/09/2020,40,15,1,,130.642982,203.0256059,1769.059741
2020,86.43209728,3977.446706,70,06/06/2020,30,15,2,templado,204.515679,158.1107781,1788.086422
2020,,4191.672349,100,20/07/2020,40,20,2,húmedo,186.9748666,247.9190967,1699.513916
2020,73.32634214,1406.407227,80,03/07/2020,20,15,3,tropical,138.0479779,153.4687879,1840.86835
2020,108.3855137,3378.675247,100,29/09/2020,30,15,1,húmedo,286.240589,108.2468338,1549.411084
2020,145.5781061,1877.231386,70,17/07/2020,30,20,1,húmedo,296.4280032,227.8300516,1614.149696
2020,120.3253596,4708.386084,70,17/06/2020,40,20,1,seco,276.9658278,142.9096846,1573.945215
2020,157.3685769,4034.982505,70,28/06/2020,40,30,2,húmedo,110.7010731,103.3569896,1719.308247
2020,23.46910436,2313.609428,80,03/09/2020,50,15,3,húmedo,131.1844169,139.568697,1828.652655
2020,190.5850132,1518.223092,100,21/07/2020,30,15,1,tropical,169.1868645,86.2070211,1637.435124
2020,,1870.949188,70,11/09/2020,20,15,1,tropical,282.5223341,109.7982256,1641.497012
2020,45.73224771,4057.538036,70,19/09/2020,40,20,1,tropical,197.172043,183.8282618,1690.928712
2020,51.70107316,2415.117721,90,25/06/2020,30,30,3,húmedo,190.2682544,52.13598774,2032.609306
2020,221.9329826,2496.988264,90,16/09/2020,30,20,3,tropical,266.2197981,129.8085938,1817.077086
2020,6.768091437,,100,04/08/2020,20,30,1,húmedo,266.8843951,70.00166784,1538.554774
2020,70.35884838,3048.236197,90,05/07/2020,30,20,2,tropical,186.1918831,214.1436428,1944.313336
2020,200.681766,,90,21/08/2020,30,20,2,húmedo,226.8985221,260.0811734,2094.760229
2020,281.0928321,4504.954863,100,10/07/2020,30,20,3,,229.5660379,132.0371084,1955.896308
2020,77.2499873,1076.51956,70,02/09/2020,20,20,3,tropical,100.9854176,276.1932027,1670.457853
2020,19.28521081,2996.106681,90,20/08/2020,50,30,1,templado,171.2132727,87.06488096,1864.208876
2020,207.2276937,4792.075306,90,01/07/2020,40,30,1,húmedo,123.8580039,135.9560658,1882.861459
2020,288.4681881,2050.769269,100,22/06/2020,20,30,3,húmedo,185.1006564,114.2814467,1891.929672
2020,150.1046093,2976.438557,100,14/06/2020,50,15,3,tropical,271.7470956,234.6203223,1799.806094
2020,8.474895166,2918.936345,90,21/09/2020,40,20,2,tropical,263.1075262,142.7477365,1766.888867
2020,0.27986621,741.8610696,70,04/07/2020,30,15,1,tropical,157.7028328,60.45552545,2089.215868
2020,184.660764,,100,12/06/2020,30,30,2,seco,276.9043367,125.1528722,1866.418919
2020,98.63639558,1360.447596,90,08/06/2020,50,15,1,seco,295.1239378,211.4030509,
2020,28.48258279,2244.214811,100,17/09/2020,30,30,3,seco,279.347153,138.2723553,1749.032563
2020,180.4953196,4665.833758,80,20/07/2020,20,30,1,templado,174.9556755,239.9264297,1581.759162
2020,9.099333799,3753.537328,80,15/09/2020,30,30,2,tropical,207.7893106,160.1372828,1792.069788
2020,184.4466485,3308.599547,100,24/07/2020,40,20,3,húmedo,121.4308661,162.4992545,2095.946429
2020,62.59622826,,70,12/07/2020,30,15,1,húmedo,288.3155155,175.1652137,1560.489195
2020,5.906321877,,70,15/06/2020,40,20,1,tropical,206.0877336,194.7364435,1505.268948
2020,51.09143598,3900.943447,80,26/08/2020,50,20,3,húmedo,281.0157659,272.6143492,1671.864235
2020,5.153396429,4762.709164,70,27/09/2020,40,30,3,húmedo,162.4878174,156.3985072,1935.374602
2020,86.95818407,1204.864393,70,26/08/2020,30,20,1,húmedo,276.7950094,172.7067777,1878.105292
2020,203.6536267,4890.376634,100,22/09/2020,50,30,1,templado,177.2665493,137.8847411,2080.999541
2020,258.0889366,4696.430534,100,19/09/2020,50,15,3,templado,120.6751448,166.631348,1631.762968
2020,75.13245906,3365.756852,90,18/08/2020,40,20,3,húmedo,227.6447689,155.5405353,1727.570397
2020,205.0918018,4617.372049,70,23/07/2020,20,20,3,tropical,298.0311418,94.62720416,1899.629173
2020,242.7357028,4927.891431,70,07/07/2020,50,20,2,húmedo,264.6149646,117.143938,1545.381725
2020,284.0523696,1810.859261,80,27/08/2020,,20,1,tropical,119.5573825,189.7257546,1702.071506
2020,204.3528677,633.2710961,90,08/09/2020,20,20,3,húmedo,119.5600539,156.0356477,1633.380487
2020,164.0668867,4827.425174,100,28/08/2020,30,15,3,húmedo,159.5961767,158.4173436,1999.163651
2020,110.1619994,3189.91041,90,07/08/2020,50,30,3,templado,221.8461297,170.8684675,1635.468812
2020,119.7110733,2777.369069,80,13/06/2020,50,30,1,seco,271.5635014,141.4838322,1908.165304
2020,251.8126923,2789.997297,90,16/06/2020,20,15,1,tropical,155.8650699,74.87933394,1973.090675
2020,236.2666674,3552.661278,90,04/08/2020,30,20,2,templado,208.1284734,83.04430649,1729.199855
2020,131.4301571,3026.705279,70,21/07/2020,40,20,2,húmedo,259.9203106,251.7690352,1893.058952
2020,265.744698,1055.835166,90,08/06/2020,20,15,2,húmedo,141.9624414,115.3879885,1574.484366
2020,272.6397167,3343.276783,80,04/07/2020,40,30,1,húmedo,253.798286,112.019964,1821.826458
2020,219.3811702,3486.820259,70,18/06/2020,40,20,1,húmedo,217.3655814,159.5703518,1996.221648
2020,235.8745093,3000.528321,100,11/06/2020,40,15,2,húmedo,193.8802534,203.7782801,1661.17445
2020,,3952.483491,100,02/09/2020,40,15,2,tropical,283.5079604,57.28373187,1835.599093
2020,214.05345,4253.440314,100,05/09/2020,40,20,1,húmedo,121.8854734,143.2002844,1848.31832
2020,185.5858385,2012.744634,80,22/07/2020,40,15,1,húmedo,199.7228762,215.9670591,1981.139558
2020,50.05442373,1383.96582,80,05/09/2020,40,15,1,tropical,145.9451185,159.4429361,1973.191294
2020,265.4375559,4868.844652,80,07/08/2020,20,15,1,tropical,278.7016781,55.03647506,2095.804667
2020,190.7661005,4190.392569,80,11/07/2020,30,30,1,tropical,147.2703317,131.755368,1671.195882
2020,72.75414739,4744.69885,80,30/06/2020,50,30,2,húmedo,265.930156,116.588759,1943.729541
2020,101.183924,2752.983923,80,09/07/2020,20,15,2,húmedo,169.7759777,134.8659396,2020.068314
2020,294.2634687,691.892967,80,18/09/2020,20,15,1,seco,248.7649925,268.4918655,1850.130773
2020,54.9362214,1058.135673,70,17/07/2020,40,30,2,seco,232.0440135,228.4476282,1873.388551
2020,195.4777213,760.8700562,90,01/07/2020,40,30,1,tropical,119.1613418,183.5570885,1772.72022
2020,236.9001963,4346.192448,70,16/07/2020,50,15,2,tropical,110.8664283,146.0228538,1858.226835
2020,273.1353707,3321.698852,90,30/08/2020,30,30,1,tropical,243.4444049,233.2714208,1805.686071
2020,221.077942,2157.257125,70,10/09/2020,20,20,2,húmedo,122.2785827,221.0368609,1956.713571
2020,228.7543889,4405.146851,80,13/09/2020,40,15,1,húmedo,242.6515001,116.434518,1613.699217
2020,30.44267879,3289.760531,100,27/06/2020,50,20,3,tropical,196.7198084,253.5075378,2023.392973
2020,53.26752073,1175.669954,100,24/08/2020,30,15,1,tropical,143.8470072,78.92799988,1968.760164
2020,203.1995307,3344.214499,100,17/06/2020,50,20,3,templado,261.3692553,189.4069751,2002.8943
2020,154.8073464,4998.114799,100,19/09/2020,40,30,3,tropical,201.6394723,119.2437783,1916.080835
2020,105.8303924,859.3928047,70,05/07/2020,30,15,3,húmedo,278.7059085,133.1796146,1915.472974
2020,42.08451215,961.8266105,90,23/08/2020,40,20,3,templado,276.9663295,177.8830203,1736.041702
2020,92.85257949,2912.469642,90,22/06/2020,40,30,1,templado,167.4432473,119.0370497,1946.583416
2020,147.3735811,4760.381202,70,09/06/2020,50,30,2,húmedo,287.3783148,98.97919728,1545.796232
2020,291.3249198,3461.657267,100,11/07/2020,50,20,3,tropical,116.0747105,296.5529284,1773.273573
2020,132.8137513,4299.878032,70,01/07/2020,50,20,3,tropical,134.0047084,260.5981973,1950.70337
2020,12.63950519,1676.640968,100,13/06/2020,20,30,3,seco,187.731722,157.1632781,2016.402823
2020,88.33962497,1428.154151,80,15/09/2020,50,30,1,tropical,296.2815958,176.6739347,1889.007406
2020,116.9550648,3457.994283,70,21/07/2020,30,20,1,,158.3182992,170.2684513,1563.208768
2020,,2454.566188,90,09/08/2020,40,15,2,tropical,253.3740452,249.3779027,1871.553188
2020,298.5654656,3767.364976,70,23/08/2020,50,30,3,,154.3267562,95.55501287,1811.894768
2020,62.33376862,1052.703279,90,06/08/2020,20,30,3,húmedo,142.3434718,172.6889633,1614.074899
2020,59.02989841,4478.748427,100,12/07/2020,30,20,1,húmedo,161.8749986,83.76436042,1679.908055
2020,204.9907061,2913.954937,90,09/07/2020,50,20,3,seco,272.069093,288.9359091,1680.542413
2020,260.7201698,2548.788923,70,20/08/2020,30,30,2,seco,138.082704,280.0290456,1528.83303
2020,73.15041752,3389.573341,90,28/09/2020,30,15,3,templado,121.5884916,299.1422897,1680.240027
2020,42.63761079,3059.292916,90,26/08/2020,20,30,3,seco,116.6949884,224.9806219,1553.684156
2020,46.12768705,3123.23571,90,26/08/2020,30,20,2,seco,293.3687221,161.54192,1992.502249
2020,3.872143021,818.4187354,100,14/09/2020,40,30,3,tropical,239.4302727,228.1821014,2062.659733
2020,249.0847521,1003.557863,70,20/06/2020,30,15,2,templado,218.4687459,64.52551391,2052.856193
2020,77.11135873,2772.209574,90,29/09/2020,20,30,2,húmedo,169.0170508,250.8448975,1726.069888
2020,42.0840327,3905.712302,90,19/09/2020,40,30,3,,168.0421839,106.7168201,2008.160725
2020,234.0372548,3883.639328,80,09/08/2020,30,20,3,tropical,220.0444942,224.278002,1727.461877
2020,94.01122562,3424.428554,80,29/08/2020,50,20,1,tropical,178.2450248,59.86629507,1963.367411
2020,137.3814138,933.0246079,100,22/07/2020,50,15,1,seco,196.8193028,219.6414855,2009.623383
2020,131.3629269,1707.899502,70,12/06/2020,50,20,1,tropical,230.6630083,133.5123739,2026.203743
2020,258.1270595,,70,11/06/2020,30,20,2,húmedo,126.2051945,152.8096353,1523.091166
2020,155.4286929,1560.673925,100,03/07/2020,40,30,1,seco,117.2417606,173.3449328,1571.653167
2020,128.1203759,1194.316212,90,21/08/2020,30,30,2,templado,124.4493426,170.0092592,1585.079499
2020,91.27340405,1663.229388,100,05/07/2020,30,30,1,húmedo,113.385891,242.7111199,2088.701515
2020,43.01642258,4210.70896,100,24/09/2020,50,15,3,seco,148.5168069,157.3849414,1602.076067
2020,166.1563122,4116.207229,80,15/08/2020,20,20,1,tropical,203.8688222,129.0937048,1765.667163
2020,76.32163297,3200.474565,100,20/06/2020,30,15,3,tropical,217.6465334,74.3173603,1934.499076
2020,221.0665737,4276.08046,80,11/06/2020,50,20,1,húmedo,288.995954,89.77531376,1796.601966
2020,110.4531137,2294.784399,100,31/08/2020,30,15,2,húmedo,262.4714153,221.5499655,2087.803252
2020,107.1688748,2944.46474,100,08/07/2020,50,30,2,seco,117.8584264,232.211053,1824.473284
2020,240.6428256,4736.169178,90,04/08/2020,20,15,3,tropical,253.7410936,274.3561864,2072.040547
2020,198.4833175,2064.394972,100,09/07/2020,20,30,3,húmedo,284.5434405,234.2383526,1825.513666
2020,254.7020729,2821.157025,70,29/07/2020,30,20,2,húmedo,253.1837483,213.1560991,1630.464822
2020,61.68896312,1883.831471,70,14/06/2020,50,20,1,,149.2245513,242.6602604,2060.294303
2020,111.8109867,4794.165912,90,17/09/2020,40,15,3,húmedo,175.0249816,213.4219477,1941.255641
2020,66.7021832,3779.177695,80,15/06/2020,20,20,3,seco,221.6250713,196.4998945,1553.848045
2020,179.2842977,4349.020291,80,29/09/2020,,20,3,húmedo,133.3208478,87.79217398,1892.085755
2020,292.3722517,,70,16/09/2020,20,30,3,templado,296.7037442,234.8827685,1720.47535
2020,60.6027422,4184.054383,100,26/06/2020,30,20,1,seco,174.2229844,205.4115608,1723.221006
2020,114.4175781,1218.015136,90,26/09/2020,50,15,3,templado,264.0465668,287.3510511,1644.556705
2020,298.0789467,2734.053701,90,10/09/2020,20,30,1,tropical,140.5860169,257.0382821,1889.547276
2020,218.2753488,1354.665192,80,02/06/2020,30,30,3,húmedo,253.0772077,217.1868867,1820.629473
2020,51.19686202,2274.746662,70,01/07/2020,40,15,1,húmedo,200.6240033,148.6009382,1683.278119
2020,,3211.512426,100,29/08/2020,40,30,2,tropical,190.0244393,181.4811749,2048.516336
2020,296.6417109,4042.198282,100,11/08/2020,20,15,3,tropical,286.8441757,100.7468287,1832.676795
2020,,519.7810645,100,23/07/2020,40,30,2,húmedo,164.1425916,207.887965,2053.869661
2020,40.5460727,3271.182577,70,19/08/2020,,20,1,seco,275.5900439,53.37078853,1656.737814
2020,275.6180924,,90,20/08/2020,40,15,2,húmedo,166.7127577,191.654837,1730.873691
2020,29.88577244,1974.080351,80,16/08/2020,40,30,1,seco,206.0151951,89.48102096,1683.522203
2020,148.8750608,4557.184607,100,28/07/2020,50,20,3,húmedo,271.4825709,286.3736554,2061.675431
2020,180.1339262,4135.340482,70,31/08/2020,30,15,3,húmedo,137.9548531,285.5738567,1623.454482
2020,277.053144,3933.155143,100,01/09/2020,30,20,2,húmedo,232.4834659,143.984254,1789.903181
2020,125.9113389,4025.531451,80,25/09/2020,40,20,1,húmedo,164.1614457,171.8779062,1878.440228
2020,163.5405512,4283.544148,70,12/07/2020,50,15,2,húmedo,165.0518681,150.6707282,1835.872666
2020,274.7293832,2911.851763,80,24/09/2020,40,15,1,templado,274.910512,171.2337152,1679.5996
2020,161.6281216,3539.374428,90,30/08/2020,40,15,1,templado,240.0665402,264.3798496,1850.297525
2020,260.2868963,2743.861614,70,23/08/2020,20,30,3,seco,127.8343712,275.157804,1872.500571
2020,100.5457292,1203.719066,100,07/07/2020,50,30,2,seco,109.7966049,155.1300928,1841.533901
2020,50.22400956,4606.315208,90,06/06/2020,40,30,3,húmedo,185.4788337,165.3915526,2098.166739
2020,121.2962143,1113.866733,100,15/08/2020,20,20,2,húmedo,265.5053032,128.5721306,1766.125653
2020,216.3571294,4296.888355,70,14/09/2020,30,20,2,tropical,222.968957,223.4438812,1742.612846
2020,190.5659334,3518.380962,100,21/06/2020,20,20,3,húmedo,191.816404,218.8566247,1712.260579
2020,235.784874,2723.188942,100,15/08/2020,20,20,2,tropical,225.4626046,132.6750744,2091.224966
2020,200.95383,1749.259652,90,15/07/2020,30,20,3,húmedo,239.2909743,134.5409203,1608.546567
2020,135.2782884,705.8459135,70,05/06/2020,20,20,3,húmedo,129.3163032,232.8902353,1693.726297
2020,80.12222462,4565.525493,100,10/06/2020,40,15,3,húmedo,125.8496544,229.0316064,1680.15666
2020,284.0245381,559.2425062,100,19/08/2020,40,15,2,,104.8077862,194.0744197,1541.482265
2020,70.18951163,4484.078449,100,17/09/2020,20,30,2,tropical,118.3721188,281.1639238,1804.692436
2020,259.8510861,830.8906461,100,25/06/2020,50,20,2,tropical,187.4081281,186.2531707,1990.854468
2020,3.326448229,1286.310802,100,20/06/2020,40,15,1,húmedo,112.2770322,146.6720832,1923.358716
2020,137.5883406,2147.179591,80,24/06/2020,20,30,3,seco,170.6711163,174.516484,1798.204255
2020,259.4467142,1114.617356,90,14/08/2020,50,20,2,húmedo,270.5754766,195.7344018,1958.793376
2020,129.1894835,1227.484507,90,01/08/2020,40,20,3,húmedo,197.6373162,71.59593428,1916.53433
2020,144.6223083,,100,10/06/2020,50,15,3,húmedo,138.2349232,79.9058938,1805.600882
2020,140.9710523,2966.490741,80,29/09/2020,30,20,1,húmedo,228.2708486,236.5629479,1967.227256
2020,211.2925709,4166.744338,90,11/07/2020,20,20,2,tropical,178.093655,237.3697186,1932.097914
2020,85.27044175,2769.177811,100,11/06/2020,50,20,3,húmedo,142.6526106,143.972578,2026.410415
2020,90.86826061,779.5198265,90,11/07/2020,20,30,1,húmedo,285.7692881,151.4008035,1548.1339
2020,79.88199424,2969.178031,70,16/09/2020,20,30,1,templado,197.2915529,274.8828316,
2020,199.8642934,4254.811335,90,20/06/2020,30,30,2,húmedo,148.279963,263.6558956,
2020,127.5754395,535.9059862,100,18/06/2020,20,15,1,tropical,249.9528866,297.506506,1589.866946
2020,57.86281794,755.8041464,90,28/09/2020,50,30,3,húmedo,131.189284,216.9722317,1694.482844
2020,87.12488878,2556.94399,70,12/08/2020,20,20,2,tropical,103.3783904,142.6595386,1795.169459
2020,290.0077866,4522.807776,100,29/09/2020,,15,1,tropical,209.6323698,197.5285059,1672.916579
2020,153.2402814,4973.247836,90,28/08/2020,40,30,1,templado,243.8442845,167.4089968,2082.544966
2020,108.3523248,966.4444717,70,15/07/2020,30,20,3,húmedo,122.4400787,289.5946886,1697.176211
2020,201.5382483,,100,04/09/2020,30,30,1,húmedo,163.8514999,128.1732125,1533.836889
2020,82.51845417,4598.636757,100,04/09/2020,20,20,2,seco,144.9406747,188.4664248,1964.531348
2020,121.8588018,1235.500701,90,14/09/2020,50,20,3,húmedo,189.8552916,278.5971351,1790.781752
2020,42.71956543,3188.656691,100,13/06/2020,30,15,3,húmedo,107.4640867,240.0556703,1929.239505
2020,296.042632,3658.787556,80,26/09/2020,30,30,1,seco,253.2181563,216.9721808,1787.797339
2020,83.79078501,3157.391981,80,22/08/2020,30,15,1,húmedo,128.9111414,281.0224103,2079.481061
2020,,2221.28614,80,31/08/2020,50,15,2,húmedo,156.5995785,92.52530826,1725.570021
2020,75.23936482,3610.578009,100,01/06/2020,20,20,1,tropical,197.5066789,147.6983874,1802.729964
2020,227.2623667,3467.747216,100,08/08/2020,40,30,3,húmedo,277.6766138,246.2114605,1502.799123
2020,294.4553332,4569.061029,70,09/06/2020,50,30,1,húmedo,214.4865181,116.5785741,1972.75707
2020,166.994075,1629.648555,90,22/06/2020,30,30,1,seco,241.4034827,66.91772078,1965.611623
2020,39.5019185,4643.078302,100,04/06/2020,30,15,1,templado,193.2880859,81.42173517,1625.751136
2020,108.2370445,865.5806669,100,09/09/2020,20,15,3,seco,229.3466581,287.8236968,1703.122857
2020,130.025393,1712.099994,90,11/08/2020,50,30,1,templado,284.8435304,71.00124516,1593.396487
2020,278.8922133,2023.980778,70,12/09/2020,20,20,1,húmedo,150.2911996,273.9751526,1717.260087
2020,256.7940602,2129.153636,80,17/09/2020,50,20,3,húmedo,292.5993443,212.9007773,1915.80945
2020,187.4640906,3752.618242,70,23/06/2020,40,15,3,húmedo,106.3932221,110.4586923,1731.660906
2020,205.0794176,2545.584575,70,05/07/2020,50,15,1,seco,200.8922348,187.7063621,2075.428463
2020,67.11424643,608.8891978,100,28/07/2020,40,15,3,,162.1574533,203.520216,1636.747085
2020,35.77148046,2651.525409,80,08/09/2020,,20,2,tropical,259.1040986,204.3993144,1619.040231
2020,8.517484741,1826.556469,90,12/08/2020,40,15,1,seco,207.6302969,70.73209757,1728.214461
2020,62.29268055,4356.95611,80,12/09/2020,40,30,2,húmedo,245.5935824,181.562403,1574.485458
2020,244.3889864,3087.381228,70,11/06/2020,20,15,2,húmedo,267.7097201,163.8537366,1949.452735
2020,101.7740594,,90,18/08/2020,,30,2,tropical,158.3699896,107.5621612,1705.730087
2020,170.7738901,1144.495646,80,20/06/2020,50,30,3,seco,122.4500997,260.7243435,2044.284148
2020,286.2439569,3653.292465,80,30/07/2020,50,20,2,tropical,265.5534215,52.94541474,2007.761508
2020,41.76216812,1489.783647,70,21/09/2020,50,15,1,tropical,237.5204015,274.4470762,2089.955345
2020,151.4893853,4580.620655,70,31/07/2020,40,30,3,húmedo,169.0516379,80.46422197,1678.90456
2020,277.6361475,2510.291521,70,05/06/2020,40,20,3,seco,127.1951304,261.018421,1960.137447
2020,177.8390605,2398.580795,100,29/07/2020,50,15,3,seco,134.3007588,171.7942248,1521.446997
2020,125.2384852,1632.369586,90,05/08/2020,50,30,1,húmedo,285.2739374,120.1691498,1893.757238
2020,235.6563211,1044.381046,70,19/09/2020,30,15,3,seco,224.6717634,65.71319701,1519.471535
2020,208.7832183,3047.38853,90,21/06/2020,20,30,1,húmedo,171.4872959,101.5665122,1601.35038
2020,117.3171904,822.1980422,90,23/07/2020,30,20,1,seco,131.4505884,291.1216979,1555.660655
2020,249.4484088,4036.919262,90,11/07/2020,40,30,1,tropical,117.571134,152.3572899,2027.152996
2020,,805.2110515,90,16/07/2020,20,20,1,templado,174.0200182,232.3220013,1796.5165
2020,65.50769819,1078.196774,100,31/07/2020,30,30,1,húmedo,167.5769185,243.000606,2007.404465
2020,265.6202049,,100,07/06/2020,50,15,3,húmedo,281.7669527,155.9112864,2079.341904
2020,33.86403675,2355.078247,90,07/06/2020,30,20,1,húmedo,168.4317066,198.863154,
2020,61.04993417,681.0770321,70,15/08/2020,20,30,3,tropical,210.6411166,101.9878218,1671.000557
2020,200.9969099,,90,24/09/2020,30,15,1,tropical,298.7078463,145.7661359,1947.292612
2020,155.9106657,1426.961809,90,14/09/2020,40,15,2,tropical,288.8719921,299.7028651,1974.770576
2020,19.45610412,3254.940912,90,13/09/2020,30,30,1,templado,166.5368478,290.9301895,1590.56858
2020,253.2943754,1796.811754,90,11/08/2020,30,20,2,tropical,161.7542207,209.671464,1593.287942
2020,278.8741215,3526.556655,100,08/07/2020,30,20,1,húmedo,224.7557122,130.9819599,2014.722796
2020,295.846478,2275.628962,100,07/09/2020,30,15,2,templado,283.2318467,228.7870851,1705.146452
2020,53.71466664,2945.248376,70,01/06/2020,40,15,2,tropical,147.8164729,114.99374,2027.491453
2020,267.6046866,3497.85248,70,25/09/2020,40,20,2,tropical,270.7391988,224.0669386,1799.980629
2020,226.3284107,2739.230903,70,24/07/2020,20,20,1,tropical,180.5769152,189.2696502,2016.840673
2020,46.40455978,1467.158932,100,28/09/2020,20,30,3,seco,188.4912173,297.9270306,1986.805193
2020,204.7227964,4809.867921,70,10/07/2020,50,20,2,húmedo,221.6660752,183.5151879,1600.255653
2020,221.7317763,1348.321388,90,23/08/2020,20,20,2,seco,222.6957301,118.8475051,1578.584925
2020,30.39442564,1021.189306,80,06/08/2020,20,15,2,tropical,160.2235384,73.08345115,1878.37184
2020,232.583594,1605.953165,70,23/06/2020,30,30,1,,174.3000418,149.5085144,1666.658238
2020,136.809877,2923.290872,90,21/08/2020,20,15,3,húmedo,274.3480321,108.6249629,1567.239909
2020,251.0029576,2330.643201,80,08/08/2020,30,15,3,seco,272.8238452,299.4726836,1696.258821
2020,134.546919,1757.466039,100,20/06/2020,30,15,2,tropical,282.1191758,291.3719685,1533.980872
2020,42.98447385,1078.642108,90,26/09/2020,30,15,3,húmedo,188.0124521,158.9527292,1817.058547
2020,156.2923702,4248.795764,100,03/07/2020,20,30,2,seco,115.732912,207.8465093,1567.527247
2020,65.20960282,1644.231016,80,28/06/2020,30,20,1,seco,202.2341435,153.0194028,2080.08067
2020,93.41652285,4514.323753,100,26/08/2020,50,15,1,seco,229.6361255,212.2880487,1521.254783
2020,222.0761448,1766.498027,100,28/07/2020,40,20,2,húmedo,116.142123,190.1492572,2087.426285
2020,286.1605716,3340.086586,70,31/07/2020,20,20,3,húmedo,107.8912842,118.2097316,
2020,138.8440302,2615.251564,80,04/07/2020,,20,1,tropical,178.2869411,268.247463,1946.682193
2020,182.222697,4138.21613,100,28/08/2020,,30,1,seco,197.3818191,161.9437805,1685.214655
2020,77.43414036,2796.14586,80,14/06/2020,30,15,3,húmedo,269.159736,231.2394561,1682.63822
2020,234.0187886,2442.986641,80,24/06/2020,40,15,2,húmedo,132.1425741,249.4129616,
2020,29.1756329,911.5002215,80,13/09/2020,50,30,1,húmedo,150.134958,160.6603926,2066.58421
2020,75.92506563,1668.938986,100,12/06/2020,30,20,2,seco,239.6362861,185.5594277,2039.917801
2020,218.8939553,4838.641648,100,15/09/2020,,20,2,tropical,135.5769771,180.4624743,1942.533125
