Año de siembra,Altitud (msnm),Superficie (m2),Distancia entre filas (cm),Fecha de siembra,Distancia en la fila (cm),Fertilizaci�n,Riego,Clima,Costo de producción (USD),Otros costos (USD),Producción (kg)
2020,239.7578188,4869.688081,80,28/07/2020,40,20,2,tropical,244.4869437,265.9340456,1792.957209
2020,43.06873395,766.3924361,80,05/06/2020,30,20,1,tropical,156.39714,262.6577198,1726.025398
2020,144.6940414,3202.961157,90,01/07/2020,30,20,3,húmedo,225.0246253,228.094781,1969.092485
2020,17.01409078,3524.519818,70,13/06/2020,20,30,3,tropical,289.671861,59.24148643,2086.856746
2020,118.9753675,4822.308446,80,16/09/2020,40,20,1,tropical,144.646049,295.2387751,1681.908602
2020,254.9452769,4286.479465,90,28/06/2020,20,20,3,,252.7382377,69.54526934,2003.434621
2020,246.1383433,,90,14/09/2020,30,30,2,húmedo,188.1062065,112.2171469,1839.903188
2020,101.0460088,3042.015591,90,17/09/2020,20,30,1,húmedo,193.5974333,218.6458566,1825.110672
2020,166.1338166,4972.208792,70,02/09/2020,20,15,3,húmedo,161.2092824,258.2932009,1759.594437
2020,1.148458167,1918.677136,80,14/09/2020,40,30,1,templado,296.8949629,246.8174967,1549.328574
2020,93.06310083,2657.076867,80,12/07/2020,30,20,1,,109.0207213,216.1507071,1514.684025
2020,268.1512214,2753.464193,100,22/09/2020,40,15,1,tropical,192.1358776,61.55159842,1522.550553
2020,114.9903534,4612.744498,90,15/06/2020,50,30,3,húmedo,282.9302026,222.1516226,1954.814072
2020,86.44202749,791.7094628,80,07/06/2020,40,30,3,húmedo,159.1709596,60.84357111,1770.791904
2020,150.8529549,4642.649321,100,04/09/2020,50,30,2,seco,137.7950358,298.8032709,1573.938425
2020,,4946.64705,100,22/09/2020,20,30,2,templado,213.9754579,134.661321,1842.887752
2020,175.7889619,2472.362323,70,21/07/2020,20,15,2,seco,185.4272044,276.198733,1996.467268
2020,247.1718385,2170.87217,90,08/06/2020,40,30,3,seco,145.1951224,97.72875748,2008.855725
2020,162.9261625,2513.026554,70,23/07/2020,40,20,2,tropical,261.269949,60.15232726,1842.369345
2020,99.13873755,2459.846777,100,02/06/2020,30,30,1,húmedo,101.9743195,146.5502804,2056.932855
2020,59.39848521,3720.506392,100,09/07/2020,30,30,3,seco,251.5363425,294.9729069,2027.490929
2020,69.22793647,1501.161294,70,04/09/2020,20,20,1,húmedo,180.1522091,193.5585908,1555.99757
2020,284.4399062,3496.883801,90,23/07/2020,20,15,3,tropical,116.5357742,287.9146379,1526.553262
2020,56.04712471,3388.045676,80,16/06/2020,40,20,3,tropical,266.6293437,66.87407739,1581.133233
2020,299.2350142,4779.918694,90,24/08/2020,40,15,1,húmedo,276.0102864,264.1307871,1978.105247
2020,173.7890478,4834.272943,90,09/09/2020,20,15,3,tropical,121.3390326,96.57941162,1594.085467
2020,195.5028789,4331.635308,70,05/06/2020,30,20,3,seco,122.0922384,199.7735077,1634.45681
2020,197.4209362,4372.757924,80,28/09/2020,20,30,2,húmedo,152.6898588,175.3404214,2003.094621
2020,216.5802276,4009.526751,100,26/06/2020,50,15,3,húmedo,289.3252364,218.1133344,1958.253597
2020,,1455.410475,70,11/07/2020,30,20,2,tropical,281.7170141,77.75247005,1557.604214
2020,273.0558206,1276.566587,70,12/08/2020,50,30,3,tropical,144.5418291,103.3791057,1816.599441
2020,159.1677955,525.2154517,70,14/09/2020,50,15,1,templado,170.1099607,129.6385933,1848.657213
2020,161.2169962,4111.229046,90,25/09/2020,30,15,3,tropical,184.8181079,120.682563,1547.356254
2020,73.83155162,1179.059463,70,01/09/2020,40,30,1,húmedo,264.8172167,203.497606,1669.223492
2020,98.485059,642.6306753,70,14/09/2020,20,20,1,húmedo,139.5179785,160.0286106,1898.564439
2020,228.1128787,2398.781573,90,17/09/2020,20,15,1,tropical,261.2823627,297.938592,1656.14225
2020,30.70975325,1475.352889,100,13/09/2020,40,30,2,húmedo,279.9512784,254.2870413,1706.953375
2020,115.5781234,2939.507659,70,24/07/2020,30,20,1,tropical,133.9711113,122.7644969,2012.674041
2020,82.57611374,2401.467061,80,18/07/2020,20,20,2,templado,207.8125765,108.0176502,1570.052425
2020,50.25300896,3570.370057,80,12/09/2020,50,30,3,templado,229.4794609,168.7837469,1802.954917
2020,107.341958,4883.169791,90,18/07/2020,40,30,1,húmedo,104.4124681,149.7812633,1688.743258
2020,259.9460354,3992.061336,100,03/06/2020,50,30,2,seco,238.9549308,165.1131717,1756.958175
2020,229.7803924,602.6675871,80,22/09/2020,20,30,2,templado,133.2949151,87.57996677,1750.070369
2020,172.4087913,4458.502334,70,28/07/2020,30,20,1,tropical,199.9356924,124.0053445,1940.896558
2020,,4554.658888,90,12/08/2020,40,15,1,húmedo,168.4881453,78.88486402,1937.158566
2020,84.47963457,1734.926818,100,09/09/2020,40,20,2,húmedo,200.5969064,157.3064326,2050.83819
2020,123.5234135,2024.142222,80,28/07/2020,50,20,1,seco,114.5439923,95.30097961,1809.026811
2020,272.1214164,501.0539125,90,28/08/2020,50,30,3,templado,272.5069267,182.4199717,1509.252193
2020,9.252714482,675.830946,100,12/09/2020,30,20,3,tropical,167.8767191,109.843763,1727.696583
2020,158.5309628,1295.764472,70,15/09/2020,20,20,1,húmedo,205.5869925,262.0596454,1703.446155
2020,0.493930965,1317.684495,80,20/06/2020,20,30,3,húmedo,226.0092031,131.9941669,1702.479777
2020,211.4561211,1421.71843,100,18/06/2020,40,15,1,tropical,268.3399659,210.6301403,2096.462189
2020,223.5007178,4325.108292,100,26/07/2020,30,20,2,húmedo,127.4918515,149.7128908,1850.914349
2020,50.57926235,3868.664745,80,12/09/2020,40,20,2,templado,234.6447165,196.3359998,1590.183708
2020,132.0603884,1641.370582,100,22/09/2020,20,15,3,templado,186.5090824,94.5130982,
2020,274.4037694,,80,17/06/2020,30,20,3,seco,270.4521463,118.2039642,1652.847616
2020,29.94876254,4010.8538,100,08/06/2020,30,30,1,húmedo,254.8218909,101.4547925,2014.684802
2020,140.0612261,,100,10/06/2020,50,30,3,tropical,153.3667641,245.9294973,1822.946999
2020,257.9936816,3013.880225,100,12/07/2020,50,15,3,seco,207.5525887,131.6626547,1760.861168
2020,241.3275703,4547.407192,100,11/07/2020,30,20,1,húmedo,167.8650116,148.3875873,1659.492628
2020,72.04970331,1213.068253,100,27/09/2020,30,30,3,húmedo,294.0202997,158.463702,1804.662768
2020,,4369.001312,100,30/07/2020,30,30,2,húmedo,264.8116655,292.4540061,1625.287779
2020,49.16159928,1836.384261,80,03/06/2020,30,30,1,tropical,225.8857098,85.70996651,1716.000396
2020,118.8870806,4768.053266,80,25/09/2020,40,30,1,,161.0519677,114.9449396,1797.095486
2020,230.518417,3730.776378,80,09/08/2020,50,20,2,tropical,150.4680853,63.60065973,2049.403955
2020,146.3749457,2242.298886,90,28/06/2020,40,15,3,húmedo,124.0449896,98.34659355,1759.845168
2020,225.7702185,1675.65258,100,26/07/2020,30,15,3,húmedo,117.9241678,281.6999417,1525.648678
2020,210.2071222,1964.305613,90,28/07/2020,50,15,1,húmedo,290.6360603,120.354278,2003.348422
2020,161.4953138,2821.268905,70,09/08/2020,30,20,1,tropical,218.9754431,166.9984716,1504.39593
2020,286.4677925,2368.31958,100,08/07/2020,30,30,2,tropical,112.7035741,109.6335898,2047.904649
2020,175.8160218,2315.495738,100,27/06/2020,50,30,2,,143.2306523,246.426765,1857.205563
2020,248.1099478,1508.980828,80,30/08/2020,40,20,1,tropical,250.9905585,63.52554831,1731.521256
2020,,1500.299457,80,01/09/2020,40,15,2,tropical,151.4783107,158.8327268,1985.479486
2020,30.4322146,3502.446426,90,26/07/2020,50,30,1,húmedo,167.6649341,210.2035113,1987.999418
2020,155.0485184,4293.277715,90,06/07/2020,40,30,3,templado,129.5678749,295.8412138,1562.471428
2020,123.0192365,2641.932977,70,25/09/2020,50,30,3,húmedo,220.2225453,145.520401,2053.460535
2020,22.22609879,2296.093481,80,15/06/2020,20,15,3,húmedo,298.8003345,165.8149436,2039.686381
2020,147.9470476,4751.270674,90,27/07/2020,30,15,1,tropical,192.5225876,158.9310491,1559.087825
2020,,2968.784965,100,17/09/2020,,20,2,tropical,180.17227,108.6895247,1680.318848
2020,134.9407494,,70,12/08/2020,30,15,2,seco,235.4864235,131.4384563,1809.072608
2020,165.4920532,1851.122085,100,22/09/2020,50,30,2,templado,272.5975122,138.3379401,1720.239915
2020,32.82493361,4559.597993,70,19/09/2020,50,20,2,húmedo,156.5508991,158.7168361,1776.104538
2020,236.7890157,4327.533096,90,14/09/2020,50,15,1,templado,209.6345799,216.5043492,
2020,2.489724754,906.3085278,90,04/08/2020,20,15,2,húmedo,158.8442214,171.4948596,1723.252784
2020,287.5306566,,70,19/06/2020,20,20,3,templado,191.2886984,195.2616801,1793.870376
2020,161.7721004,2532.837267,80,19/06/2020,50,20,2,húmedo,229.502138,65.23763743,2047.810409
2020,120.4154083,3255.098382,90,29/08/2020,30,15,3,húmedo,179.8895304,295.2127715,2089.023015
2020,57.98485863,4130.468252,70,24/08/2020,40,20,1,húmedo,141.92629,80.85817091,2091.2583
2020,84.02193162,1572.193303,90,03/09/2020,40,30,1,,208.55478,204.8654821,1672.150049
2020,,4044.747519,70,15/07/2020,40,15,2,húmedo,170.8509389,278.7059154,1624.675464
2020,,2439.16089,90,04/06/2020,50,30,1,húmedo,133.4080487,220.8770047,1571.639153
2020,176.6181102,702.2460725,70,29/09/2020,50,15,3,tropical,137.3038108,93.3164703,1906.839357
2020,294.9381306,716.7874382,90,07/09/2020,30,20,3,seco,219.4823,191.3770173,1749.705568
2020,219.7339795,535.963797,80,24/09/2020,50,15,3,seco,280.9033149,225.2150272,1687.79123
2020,171.8644382,3605.653931,80,23/08/2020,40,15,1,tropical,228.7085134,121.7901416,1518.031987
2020,145.231575,1642.85054,100,16/07/2020,50,15,1,tropical,266.7346187,123.2917947,1576.858689
2020,265.9930467,1818.519238,70,12/06/2020,40,15,1,tropical,170.1233088,246.5856039,1848.751938
2020,27.70434225,827.4624838,80,08/07/2020,30,30,2,seco,227.9477654,188.7439947,1679.448665
2020,216.5898596,1780.517229,80,16/06/2020,50,20,2,húmedo,270.3321383,96.39994003,1726.694704
2020,239.85678,508.8071372,70,25/07/2020,30,15,1,húmedo,231.0151221,195.2007022,1717.391011
2020,77.93363193,3845.231997,70,25/06/2020,30,30,3,húmedo,177.224966,292.5710192,
2020,160.5699174,1099.634466,100,14/08/2020,20,20,2,tropical,115.226401,171.8570203,1984.659239
2020,140.6235094,1511.009216,80,23/07/2020,40,15,1,húmedo,169.7356085,104.853504,1638.988363
2020,257.4432965,1257.952027,100,24/07/2020,50,30,3,húmedo,111.7736376,211.4043331,1507.289772
2020,,3598.106663,90,17/09/2020,20,30,1,templado,118.8551317,89.14833641,1650.746784
2020,138.0902938,4278.747388,70,24/06/2020,30,30,2,tropical,152.7911292,180.7164621,1919.908701
2020,39.45064531,2181.23661,70,23/07/2020,30,15,3,tropical,167.2030487,70.66436896,1685.616042
2020,168.5551206,1246.879014,70,19/07/2020,20,15,1,húmedo,261.9034929,95.47933094,1844.681597
2020,58.16970303,4681.622916,90,09/07/2020,40,30,1,tropical,271.741444,193.4319664,1509.679139
2020,59.73324276,2969.720902,80,01/09/2020,50,15,1,húmedo,102.4809007,152.675253,
2020,182.9850439,2358.533851,100,02/07/2020,20,15,1,tropical,197.4178016,125.2929619,1596.808784
2020,207.5601384,1772.397621,90,25/08/2020,40,30,1,templado,295.7097934,284.5336839,
2020,77.51002862,1048.413003,90,26/08/2020,30,15,1,tropical,168.8875182,119.6682454,1651.059561
2020,221.9765288,2515.309029,90,06/07/2020,20,30,1,húmedo,198.9419725,221.8670122,2011.256979
2020,176.3554308,3973.653923,80,10/07/2020,40,30,3,húmedo,133.5840085,77.41860466,1802.257153
2020,275.9244093,2848.859567,80,08/06/2020,20,15,3,húmedo,122.5882872,129.5106066,1500.46652
2020,88.26890722,3016.982273,70,05/09/2020,20,15,2,tropical,165.2850504,95.71654963,1615.848066
2020,109.4367266,,70,03/08/2020,50,30,2,tropical,124.7937597,119.6232363,1621.623664
2020,74.49947127,3028.256331,100,12/08/2020,30,20,1,tropical,156.7880384,82.83042163,
2020,106.463326,2590.532858,80,05/09/2020,30,15,3,húmedo,217.9662516,245.6242487,1510.24538
2020,220.5168138,4539.160243,80,29/08/2020,20,20,2,húmedo,141.1303407,127.2128341,1733.498325
2020,193.1574858,3033.032904,100,22/08/2020,50,20,2,húmedo,201.1644365,281.7644847,2071.231526
2020,80.28292966,1065.969516,70,06/06/2020,40,30,1,húmedo,147.0402676,98.64583847,1833.360424
2020,227.2183071,1302.835558,90,02/07/2020,40,20,1,seco,201.4166794,119.6882114,1907.775405
2020,148.5482029,,90,09/07/2020,30,20,3,seco,211.8429131,178.8646553,1557.420319
2020,37.14203574,3908.321158,70,05/07/2020,30,30,2,tropical,260.3240586,116.0141257,1634.872088
2020,93.62198663,,90,17/06/2020,20,20,2,húmedo,189.8914192,154.6154301,1544.026873
2020,181.230561,3694.274715,70,08/07/2020,40,20,3,seco,168.2669107,257.6641838,1577.364003
2020,293.7280596,3050.997836,90,14/06/2020,40,30,2,húmedo,141.6083382,216.9997292,2014.971749
2020,137.3286509,872.4291348,90,09/06/2020,30,30,1,tropical,163.032023,232.3857096,1786.207102
2020,83.08569396,1826.146438,80,09/09/2020,50,15,2,seco,146.9234625,202.9496938,
2020,174.2945174,2959.29443,70,29/09/2020,50,20,3,seco,294.6465397,116.0848135,1910.063729
2020,167.9818793,832.1150182,70,15/08/2020,20,20,3,húmedo,267.0008318,127.2549533,1968.56095
2020,222.1336803,1108.122201,90,28/08/2020,50,15,1,húmedo,119.3003363,257.4077317,1617.694994
2020,108.3487426,4570.372752,80,29/09/2020,40,20,3,seco,168.5822165,297.4234201,1577.451716
2020,132.4215722,935.832009,90,20/06/2020,50,15,2,seco,216.6146928,263.4559405,1894.218707
2020,91.12903818,2660.99669,70,13/07/2020,40,30,3,húmedo,223.2951783,288.0745929,1834.860128
2020,116.6703455,996.3407784,80,03/08/2020,30,20,2,húmedo,177.3816573,243.4859504,1826.456951
2020,227.4920032,3005.368793,100,21/08/2020,30,15,3,tropical,123.5952325,279.5240395,2043.407543
2020,107.7762945,875.9103998,80,02/07/2020,30,20,2,tropical,133.8323172,54.38709213,1876.749992
2020,111.22936,1404.411511,90,15/09/2020,40,30,1,tropical,280.1745533,57.30681823,1920.096679
2020,11.37456519,3765.262389,80,13/08/2020,50,30,2,seco,161.084788,277.3133604,1899.913698
2020,41.90438326,2471.68129,100,18/09/2020,20,20,3,tropical,222.346102,158.0398299,1764.80534
2020,160.6381753,1050.84324,100,05/06/2020,40,30,1,húmedo,165.4725442,77.14749407,2030.322794
2020,140.7406369,832.1687011,80,24/08/2020,20,15,1,húmedo,268.8403368,247.1649702,1787.643531
2020,3.469002633,3872.148928,70,25/09/2020,30,15,2,templado,160.0523214,132.6356703,1823.105142
2020,166.4589053,2823.367803,90,12/07/2020,50,30,3,templado,261.5202043,235.3101775,1712.923625
2020,270.4305035,2035.628417,70,03/08/2020,40,20,3,húmedo,281.6487736,97.68167771,1801.892055
2020,189.2921575,2164.618538,80,04/07/2020,40,20,3,tropical,134.7902648,186.878531,1806.856634
2020,252.4631057,2538.502056,90,03/06/2020,50,30,1,tropical,130.7579979,190.1532537,1686.872668
2020,262.118541,2713.251202,100,13/08/2020,20,15,1,húmedo,205.2265153,157.9427062,1777.236342
2020,,2229.544007,100,04/07/2020,50,15,2,tropical,117.7369866,134.6404898,1507.13586
2020,172.8902503,788.8945405,80,17/06/2020,20,30,1,seco,222.2599829,172.2497096,1973.34653
2020,278.3365828,1822.471607,70,11/06/2020,20,20,3,templado,223.8332686,125.8003949,1619.755723
2020,,4415.080136,100,06/07/2020,50,15,1,húmedo,181.2889166,280.0239422,1693.89033
2020,45.04625575,673.6365577,70,07/08/2020,30,15,2,húmedo,154.4535401,274.0564957,1992.676783
2020,207.4981346,4262.600347,100,29/09/2020,40,15,1,templado,276.3732839,247.9029557,1552.726325
2020,82.69103428,1419.526651,80,03/08/2020,40,20,2,tropical,256.7724834,52.11897751,1683.382927
2021,141.3346764,4255.027699,70,11/08/2021,20,30,3,tropical,258.1499144,75.32102036,1872.10933
2021,194.3946318,1031.769119,80,08/09/2021,20,20,2,húmedo,214.9951388,174.9588694,1919.133395
2021,274.4849189,1183.435711,100,25/08/2021,40,15,2,húmedo,265.3069263,169.4483137,1558.710685
2021,115.5087888,1407.14255,80,19/07/2021,50,20,3,tropical,180.0465834,131.2279765,1584.252038
2021,50.39712336,3774.006855,90,18/07/2021,30,20,1,húmedo,225.1650253,187.5734141,2047.745515
2021,86.18274396,3477.093969,80,27/08/2021,40,20,3,húmedo,160.1309711,295.5809008,1691.811575
2021,51.04853899,4873.431652,80,05/08/2021,20,30,2,seco,143.0303049,50.57227956,1554.624219
2021,263.0023875,3271.741209,80,04/08/2021,20,30,1,tropical,205.7677424,173.9757586,1575.497911
2021,211.2815914,4186.757165,70,07/08/2021,40,15,3,seco,229.4804058,188.9326708,2064.568482
2021,273.4947934,4144.079828,100,27/06/2021,,20,1,húmedo,125.3084143,147.8609559,1880.577834
2021,45.40249549,2676.325682,100,18/07/2021,50,20,2,húmedo,177.1457554,89.2037871,2042.923965
2021,234.790319,,90,22/06/2021,40,15,1,húmedo,298.1690847,295.3174509,1955.984022
2021,72.79476138,2443.007188,90,14/09/2021,30,30,3,húmedo,113.616419,82.49379559,1612.249355
2021,256.970184,4064.735705,90,19/06/2021,30,15,3,húmedo,247.9962022,85.74069171,1811.130722
2021,187.4525815,917.3104819,80,05/06/2021,30,30,3,tropical,231.822593,214.0374558,2070.232325
2021,53.49152097,4017.71881,70,17/08/2021,40,20,3,seco,299.9211722,157.0072553,1509.601717
2021,279.0410113,2156.854731,100,13/09/2021,40,15,2,tropical,255.5388595,287.1136358,2050.342033
2021,98.21817097,894.3164532,100,21/06/2021,40,20,3,templado,299.4750032,96.25820323,1838.626921
2021,29.28465201,4397.145361,70,07/06/2021,50,20,3,húmedo,197.4843832,237.7476014,1732.972182
2021,29.93984322,1547.23736,80,18/09/2021,50,30,3,húmedo,109.9780686,168.0238005,1821.47166
2021,252.8254601,1086.489614,90,25/07/2021,30,15,3,tropical,138.5254957,93.35962275,1866.956555
2021,56.66876768,3061.190103,90,26/08/2021,40,20,1,húmedo,216.69387,299.9914061,1869.361059
2021,0.76324842,4088.774473,70,01/06/2021,40,30,3,tropical,236.4741328,93.97054872,1738.063908
2021,37.54996789,590.3272668,80,08/07/2021,50,15,2,húmedo,164.2761282,61.12881435,2018.599268
2021,116.3687755,4002.092507,90,20/08/2021,30,20,1,tropical,118.7365506,75.30392387,1624.760758
2021,249.5071907,1959.724711,80,18/07/2021,20,30,3,seco,251.1155151,120.6878939,2085.286555
2021,257.2069268,3375.36034,70,20/06/2021,20,20,2,húmedo,292.042878,234.7252807,1655.103704
2021,264.4795557,3140.915296,100,03/06/2021,20,15,2,templado,143.1354617,242.6442173,1890.635891
2021,230.5524643,876.4604073,70,10/07/2021,40,15,2,seco,243.7465561,181.8126813,2025.435811
2021,264.7269125,1317.507608,100,16/09/2021,50,30,2,húmedo,166.024835,291.8578237,2040.129233
2021,6.714285517,2495.628214,90,11/06/2021,40,15,1,seco,120.0967713,237.008988,1748.999955
2021,162.1754663,3314.498291,100,23/08/2021,50,30,1,húmedo,273.6279003,77.31429038,1549.298968
2021,144.8839341,928.1499484,90,12/09/2021,,15,2,húmedo,258.2654423,106.9787946,1708.181869
2021,226.7554293,940.1226116,70,18/09/2021,50,15,1,tropical,264.4799063,265.9160311,1525.129712
2021,,4543.328228,100,13/09/2021,20,20,2,seco,101.8660659,256.5795656,1769.263184
2021,242.2627182,4450.383131,100,06/06/2021,30,30,1,húmedo,166.2174726,278.7362571,1911.994687
2021,,3195.276261,70,15/06/2021,30,15,2,seco,126.6217634,149.9769739,1753.900946
2021,102.0555296,1746.337975,90,01/09/2021,20,30,2,húmedo,154.3807173,212.0143622,1902.290075
2021,258.7300389,3436.146051,90,06/09/2021,40,15,1,tropical,159.4278721,135.7258184,1655.334688
2021,139.1978956,892.3212953,90,07/06/2021,40,20,3,húmedo,272.825861,287.5428364,1821.386036
2021,198.5801792,4166.587893,100,08/06/2021,50,15,2,húmedo,103.0473033,226.2948792,2032.766225
2021,166.6356548,1292.646191,100,13/06/2021,30,30,3,tropical,140.6366923,167.4365035,2066.025535
2021,104.7561341,2654.707218,80,18/09/2021,40,15,1,húmedo,229.2409017,270.1532329,1669.805688
2021,115.0107184,4460.576166,80,09/07/2021,40,20,3,,210.7645041,248.0388695,1503.354772
2021,160.1071701,1971.452891,100,21/08/2021,50,15,1,húmedo,249.3732587,268.5753179,1644.087186
2021,154.1169963,3386.418117,70,23/06/2021,30,30,1,seco,212.31092,68.67899642,1799.548878
2021,58.21558099,2763.767782,100,16/08/2021,40,30,2,seco,120.1208772,164.4527456,1582.204082
2021,123.4926131,2881.182614,100,21/09/2021,50,15,2,tropical,274.2725703,236.7452415,1982.670211
2021,180.9985057,2916.486742,100,30/08/2021,20,15,3,húmedo,129.8960114,226.273108,1784.448914
2021,205.7096487,2011.521907,70,04/08/2021,40,20,2,templado,201.9820651,123.7126694,1833.599848
2021,172.1600132,4994.596315,70,20/07/2021,50,20,2,húmedo,251.0646481,67.0987284,2034.178224
2021,64.15781376,4702.605337,70,23/06/2021,50,15,2,tropical,126.1132468,251.1847607,2095.271336
2021,96.86269077,3647.694039,80,23/09/2021,40,30,1,templado,262.2392911,119.4221147,1599.63385
2021,103.3318264,3775.002415,80,13/09/2021,30,15,2,húmedo,266.0335324,288.1102231,1878.809237
2021,11.32631962,2345.003713,100,02/08/2021,50,20,2,seco,296.6564805,87.3173886,1571.25744
2021,184.4480524,2759.656859,70,14/08/2021,40,30,1,templado,166.9929797,151.8193999,1776.453133
2021,32.10178991,1890.363078,90,24/08/2021,30,20,2,tropical,105.8107067,193.7307988,1544.583281
